DataFrame,avgCS_BERT_base_multilingual_cased
AFvP,0.4989873
AFvU,0.4657639
EUvP,0.5527982
EUvU,0.4921556
LXvP,0.55068815
LXvU,0.48839065
CHvP,0.49500355
CHvU,0.46138728
MvP,0.5791135
MvU,0.514903
FvP,0.54721475
FvU,0.48611626
MvS,0.46274036
MvN,0.554553
FvS,0.44708052
FvN,0.5152878
