DataFrame,avgCS_ERNIE_2_base_en
AFvP,0.67282
AFvU,0.6713838
EUvP,0.7685524
EUvU,0.8056038
LXvP,0.77144414
LXvU,0.8094642
CHvP,0.7089226
CHvU,0.724417
MvP,0.76584226
MvU,0.80495775
FvP,0.7732312
FvU,0.8104543
MvS,0.60002565
MvN,0.7400338
FvS,0.60483736
FvN,0.7518953
