"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.727486830752949,0.0183902311711248,39.5583298536891,4.18512962975377e-190
"RaceChinese",-0.1762829672498,0.0260077143373812,-6.77810302600975,2.3706618060789e-11
"RaceLatinx",0.00838229808010347,0.0260077143373811,0.322300451756944,0.747309719698825
"RaceBlack",-0.291435240187048,0.026007714337381,-11.205722902307,3.64960402124309e-27
