"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.721682677615947,0.00655837822182904,110.039807587474,4.50433558923115e-300
"GenderF",0.0413339348558565,0.00927494742848298,4.456514193161,1.08441025242265e-05
