"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",0.162100416800447,0,0.126596542239962,0.197604291360931,0,"NC","RoBERTa_base"
"2","Gender","F-M",0.12733715024728,0,0.0964099540064981,0.158264346488062,0,"SC","RoBERTa_base"
"3","Gender","F-M",0.10936855012381,0,0.0808311557487327,0.137905944498888,0,"PG","RoBERTa_base"
"4","Gender","F-M",0.140858395304791,0,0.112996122515441,0.168720668094141,0,"UG","RoBERTa_base"
"5","Race","Chinese-White",-0.0349499271196481,0,-0.0752419620369986,0.00534210779770249,0.115233757452374,"PR","RoBERTa_base"
"6","Race","Latinx-White",0.0664311073255394,0,0.0261390724081888,0.10672314224289,0.000143551232186234,"PR","RoBERTa_base"
"7","Race","Black-White",0.0340104980294011,0,-0.00628153688794941,0.0743025329467517,0.131645557526105,"PR","RoBERTa_base"
"8","Race","Latinx-Chinese",0.101381034445187,0,0.0610889995278369,0.141673069362538,0,"PR","RoBERTa_base"
"9","Race","Black-Chinese",0.0689604251490492,0,0.0286683902316987,0.1092524600664,7.04812374733299e-05,"PR","RoBERTa_base"
"10","Race","Black-Latinx",-0.0324206092961382,0,-0.0727126442134888,0.00787142562121234,0.163360161916852,"PR","RoBERTa_base"
"11","Race","Chinese-White",-0.00413598273222526,0,-0.0467208065629152,0.0384488410984647,0.994510245809195,"UR","RoBERTa_base"
"12","Race","Latinx-White",0.0926253817447054,0,0.0500405579140154,0.135210205575395,1.69642064173914e-07,"UR","RoBERTa_base"
"13","Race","Black-White",0.0732855819252717,0,0.0307007580945817,0.115870405755962,6.32148320411918e-05,"UR","RoBERTa_base"
"14","Race","Latinx-Chinese",0.0967613644769306,0,0.0541765406462407,0.139346188307621,3.56748441898702e-08,"UR","RoBERTa_base"
"15","Race","Black-Chinese",0.0774215646574969,0,0.034836740826807,0.120006388488187,1.99377031322445e-05,"UR","RoBERTa_base"
"16","Race","Black-Latinx",-0.0193397998194337,0,-0.0619246236501236,0.0232450240112563,0.64651262276202,"UR","RoBERTa_base"
